"","Date","profit","return"
"1","2009-01-31",-7811.69118983006,-0.0919022492921183
"2","2009-02-28",-6134.24371381982,-0.0721675731037626
"3","2009-03-31",10457.4965716501,0.123029371431178
"4","2009-04-30",5398.31413087943,0.0635095780103462
"5","2009-05-31",4668.07635713415,0.0549185453780488
"6","2009-06-30",-1153.45180381769,-0.0135700212213846
"7","2009-07-31",5352.21773053663,0.062967267418078
"8","2009-08-31",1130.69192782923,0.0133022579744615
"9","2009-09-30",5113.82477058,0.0601626443597648
"10","2009-11-30",5086.6837447526,0.05984333817356
"11","2009-12-31",1586.37509450392,0.0186632364059284
"12","2010-02-28",949.60163037309,0.0111717838867422
"13","2010-03-31",3806.19678097601,0.0447787856585414
"14","2010-06-30",-1245.64840237622,-0.0146546870867791
"15","2010-09-30",4010.65400546674,0.0471841647701969
"16","2010-10-31",2598.24755944411,0.0305676183464013
"17","2010-11-30",593.4996336601,0.00698234863129529
"18","2010-12-31",3352.85290646658,0.0394453283113715
"19","2011-02-28",1128.608252692,0.0132777441493176
"20","2011-03-31",2099.38978902501,0.0246987034002943
"21","2011-04-30",2849.44540149266,0.0335228870763843
"22","2011-05-31",420.807243534534,0.00495067345334746
"23","2011-09-30",-4505.60000035832,-0.053007058827745
"24","2011-10-31",11019.1284911233,0.129636805777921
"25","2011-11-30",2693.15222683886,0.0316841438451631
"26","2011-12-31",1838.81186673128,0.0216330807850739
"27","2012-01-31",2418.16784859149,0.0284490335128411
"28","2012-02-29",1808.93577317717,0.0212815973314961
"29","2012-03-31",1828.97695926628,0.021517375991368
"30","2012-04-30",-709.404639829096,-0.00834593693916584
"31","2012-05-31",-3012.69028388551,-0.0354434151045354
"32","2012-06-30",5297.04918803311,0.062318225741566
"33","2012-07-31",1106.65601439777,0.0130194825223267
"34","2012-08-31",1677.27601013725,0.0197326589427911
"35","2012-09-30",1610.73425727101,0.0189498147914237
"36","2012-10-31",167.546673892611,0.00197113733991307
"37","2012-11-30",-772.563240078777,-0.00908897929504443
"38","2012-12-31",1507.4619817448,0.0177348468440565
"39","2013-01-31",3290.33718091893,0.0387098491872816
"40","2013-02-28",1196.80461577845,0.0140800543032759
"41","2013-03-31",3929.55888120878,0.0462301044848091
"42","2013-05-31",869.473709428755,0.0102291024638677
"43","2013-06-30",-205.682770149094,-0.00241979729587169
"44","2013-07-31",3227.54575390622,0.0379711265165438
"45","2013-10-31",4029.26105739205,0.0474030712634358
"46","2013-11-30",1330.89064174551,0.0156575369617119
"47","2013-12-31",2216.19980213252,0.0260729388486179
"48","2014-02-28",6042.97964182437,0.0710938781391102
"49","2014-03-31",1932.0436217654,0.0227299249619459
"50","2014-04-30",300.120956155767,0.00353083477830314
"51","2014-05-31",1617.70206489071,0.0190317889987143
"52","2014-06-30",2354.81479390274,0.0277037034576793
"53","2014-08-31",3691.18263404041,0.0434256780475342
"54","2014-09-30",-885.365361028816,-0.0104160630709272
"55","2014-10-31",3582.81541046198,0.0421507695348468
"56","2014-11-30",2645.95014799879,0.0311288252705739
"57","2014-12-31",929.569898630499,0.0109361164544765
"58","2015-01-31",-2290.69581666306,-0.0269493625489771
"59","2015-02-28",2955.95001710221,0.0347758825541437
"60","2015-03-31",-789.362436076408,-0.00928661689501657
"61","2015-05-31",401.727271918609,0.00472620319904246
"62","2015-06-30",-2142.39678442645,-0.0252046680520758
"63","2015-08-31",-3771.30921112568,-0.0443683436603021
"64","2015-09-30",718.774467316319,0.0084561702037214
"65","2015-10-31",5615.80634964549,0.0660683099958293
"66","2015-11-30",-500.693991381622,-0.00589051754566614
"67","2015-12-31",-1946.92873207855,-0.0229050439068065
"68","2016-01-31",-2036.05143247727,-0.0239535462644385
"69","2016-03-31",5748.61548727398,0.0676307704385174
"70","2016-04-30",1598.11590295029,0.0188013635641211
"71","2016-05-31",1450.57171634818,0.0170655496040962
"72","2016-06-30",688.712130550107,0.00810249565353067
"73","2016-07-31",2657.568017272,0.0312655060855529
"74","2016-08-31",366.135298995366,0.00430747410582784
"75","2016-09-30",28.0324441878957,0.000329793461034067
"76","2016-10-31",-739.871245831921,-0.0087043675980226
"77","2016-11-30",4891.40869513975,0.0575459846487029
"78","2017-01-31",486.206059723149,0.00572007129086057
"79","2017-02-28",3906.77804452798,0.0459620946415056
"80","2017-04-30",2142.9288486688,0.0252109276313977
"81","2017-05-31",2267.43320609188,0.0266756847775516
"82","2017-07-31",2333.56167023542,0.027453666708652
"83","2017-08-31",356.037137805127,0.00418867220947208
"84","2017-09-30",1827.52426288188,0.0215002854456692
"85","2017-11-30",3079.43366370928,0.0362286313377563
"86","2017-12-31",67.507560234711,0.0007942065909966
"87","2018-01-31",4420.60308457074,0.0520070951125969
"88","2018-02-28",-1567.33976814281,-0.0184392913899154
"89","2018-03-31",1134.64529344487,0.013348768158175
"90","2018-04-30",2591.1102911224,0.030483650483793
"91","2018-05-31",2784.96940896753,0.0327643459878533
"92","2018-06-30",-64.6062118461227,-0.00076007308054262
"93","2018-07-31",1735.71789586778,0.020420210539621
"94","2018-09-30",-4.67783838974223,-5.50333928204969e-05
"95","2018-10-31",-7953.27127848554,-0.0935678973939475
"96","2018-11-30",786.860851220009,0.00925718648494129
"97","2018-12-31",-8144.25119035746,-0.0958147198865583
"98","2019-01-31",9358.03544758186,0.110094534677434
"99","2019-02-28",3611.38099630939,0.0424868352506988
"100","2019-03-31",322.357969790669,0.00379244670341963
"101","2019-04-30",2908.32411754951,0.0342155778535237
"102","2019-05-31",-3993.44502372907,-0.0469817061615185
"103","2019-06-30",6432.74978599985,0.0756794092470571
"104","2019-07-31",-83.7060587949211,-0.00098477716229319
"105","2019-08-31",-1465.38353226999,-0.0172398062619999
"106","2019-09-30",1948.52095621264,0.0229237759554428
"107","2019-10-31",3059.30729751929,0.0359918505590505
"108","2019-11-30",4099.55284846205,0.0482300335113183
"109","2020-02-29",-7273.13832050869,-0.0855663331824551
"110","2020-05-31",6807.50350795507,0.0800882765641773
"111","2020-06-30",-624.174590843415,-0.00734323048051076
"112","2020-07-31",4758.74608342856,0.055985248040336
"113","2020-09-30",-1167.40853035683,-0.0137342180041979
"114","2020-10-31",2323.00284904021,0.027329445282826
"115","2020-11-30",7736.84651304253,0.0910217236828533
"116","2020-12-31",2238.72126109982,0.0263378971894097
"117","2021-01-31",-250.122715031436,-0.00294262017684043
"118","2021-03-31",4114.00869653063,0.0484001023121251
"119","2021-04-30",3425.62432716848,0.0403014626725704
"120","2021-05-31",1599.17661487485,0.0188138425279394
"121","2021-06-30",-1482.82327822734,-0.0174449797438511
"122","2021-07-31",-288.350418949514,-0.00339235786999429
"123","2021-08-31",2086.42041213849,0.024546122495747
"124","2021-09-30",-1906.78577743776,-0.022432773852209
"125","2021-11-30",-2244.94228740317,-0.026411085734155
"126","2021-12-31",6533.8871891496,0.0768692610488189
"127","2022-02-28",237.257876949525,0.00279126914058265
"128","2022-04-30",-3276.92868586913,-0.0385521021866957
"129","2022-05-31",2721.62571046787,0.0320191260055044
"130","2022-07-31",9162.07186437498,0.107789080757353
"131","2022-08-31",-2604.0342980435,-0.0306356976240412
"132","2022-09-30",-5759.51621300524,-0.0677590142706499
"133","2022-11-30",5736.38002867747,0.0674868238667938
"134","2022-12-31",-4592.08643252529,-0.0540245462650034
"135","2023-01-31",8202.84753783468,0.096504088680408
"136","2023-02-28",-2281.15165632263,-0.026837078309678
"137","2023-03-31",2045.11155468026,0.0240601359374148
"138","2023-04-30",-507.683206090999,-0.00597274360107057
"139","2023-05-31",1770.97239750952,0.0208349693824649
"140","2023-06-30",5586.42372057088,0.0657226320067162
"141","2023-08-31",-295.33363603555,-0.00347451336512412
"142","2023-10-31",-2555.68480524485,-0.0300668800617041
"143","2023-11-30",7216.43709194929,0.0848992599052858
